,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
3,235,,,,0.79695576,0.74699503,0.73654044,0.74616903,0.73054653,0.74062884
3,440,,,,0.8285905,0.81846005,0.81826806,0.8165643,0.82312644,0.82126385
3,534,,,,0.7894372,0.75043356,0.7304395,0.73986226,0.7329948,0.7291849
3,55827,,,,0.7807498,0.70476806,0.6813231,0.67392796,0.675432,0.6998941
