,,S,S,S,S,S,S,S,S,S
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
3,212,,,,0.680359,0.65588677,0.6681159,0.6728791,0.6598556,0.6763866
3,458,,,,0.75174457,0.75827503,0.74983627,0.7632493,0.76261264,0.7656424
3,471,,,,0.7707476,0.76703155,0.7548864,0.7753032,0.7628319,0.7581955
3,918,,,,0.80695933,0.8197305,0.81991506,0.8125942,0.8084229,0.8084115
