,,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse,nrmse
step,,-2,-1,0,1,2,3,4,5,6
mode,plant,,,,,,,,,
3,1005,,,,0.3799218,0.38102406,0.37613755,0.3826871,0.38157964,0.3834513
3,1190,,,,0.369613,0.36755037,0.36966956,0.3736493,0.37057766,0.37084296
3,1395,,,,0.40101054,0.40272707,0.40469557,0.4033509,0.40160617,0.4031873
3,17314,,,,0.33108246,0.32801232,0.33131915,0.33124837,0.3289202,0.329334
